Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Exports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069832402,1120670391,1195530726,1264245810,1326256983,1377363128,1393586592,1353553073,1260441341,1275569832,1450173184,1597854749,1585854749,1729374302,1849972067,1593977654,1517698324,1829078212,,,,,
Afghanistan,AFG,Exports of goods and services (current US$),22222233.33,24444455.56,26666680,68888922.22,71111144.44,113333340,120000000,113333340,122222228.9,142222222.2,171111104.4,199999988.9,235555544.4,224444437.8,302222222.2,300000006.7,337777777.8,344444451.1,357777771.1,,,,,,,,,,,,,,,,,,,,,,,,1337189555,1996491933,1796873038,1719072441,1868166953,1754538352,1833579463,1836528323,1597480951,1095048850,1132970325,1264501728,1316836331,1379626140,1342632359
Angola,AGO,Exports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,3342245989,3342245989,3342245989,3342245989,3342245989,3342245989,3029652726,3935278882,2845117215,3465045195,,6226046804,5238521933,3655830000,5309756748,8182663642,6736808291,8534557617,9708751138,13797757758,24286253529,33346439694,44706926829,64243350295,41451123308,51451738031,68042576386,71908646944,69562207374,60851240661,34932067182,29596771749
Albania,ALB,Exports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,335069933,319090900.3,327312512.5,333550012.5,348287487.5,418924987.5,312500000,82300000,81519209.68,189399541.5,225407481,302465325.4,371128296.1,229987998.6,293568702,540103549.6,648940336.6,748461645.6,869225487.8,1169843190,1608022160,1862113161,2242225040,3005295932,3811621611,3565191443,3869105644,4384659125,4108850594,4530754730,3732085801,3104919170,3427769238
Andorra,AND,Exports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Exports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50787202178,54362695711,69538461538,93968686181,1.22071E+11,1.52434E+11,1.8669E+11,2.48808E+11,2.01959E+11,2.25275E+11,3.14834E+11,3.75798E+11,3.92571E+11,3.9957E+11,3.59401E+11,3.62069E+11
Argentina,ARG,Exports of goods and services (current US$),,,1147183934,1441753550,1424603255,1764705803,1904761830,1818181858,1714285705,2000000041,1769210603,2000000003,2500000047,4000000136,4999999840,3054054017,4695000304,5459999881,4999999950,4508960597,3895791555,5445263190,7663966256,9515669467,6003000152,10376666929,9054444307,8747619117,12029545361,10007559520,14643450361,14561091033,15095901878,16357317618,19385000000,24978750000,28381250000,30928250000,31137000000,27862250000,31223750000,31112750000,27736666041,33084461867,39266996606,46198180131,53550250227,65162321195,79762958392,65133480388,80208867996,97810932629,88655850854,80690471898,75841712305,64367776224,69385052863
Armenia,ARM,Exports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789960888.4,842829165.1,506749951.3,567247804.2,517226129.7,351337822.2,371135620.1,332378724,359865223.2,383089987.9,446833330.7,539539689.4,697610011.3,902544361.3,1063500422,1411787059,1491343148,1766288265,1754799336,1338222263,1928926124,2409446528,2927398423,3153950546,3316273474,3137295852,3495675648
American Samoa,ASM,Exports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518000000,513000000,460000000,498000000,495000000,505000000,641000000,530000000,364000000,335000000,482000000,456000000,423000000,425000000,
Antigua and Barbuda,ATG,Exports of goods and services (current US$),,,,,,,,,,,,,,,,,,31551851.85,46111111.11,75440740.74,74077777.78,91137037.04,93562962.96,94029629.63,129688888.9,151681481.5,205892592.6,226985185.2,265525925.9,290937037,345300000,369862963,407266666.7,439285185.2,436459259.3,401607407.4,402522222.2,443288888.9,465900000,472829629.6,466861925.9,445334074.1,427865296.3,462637925.9,533973111.1,545269370.4,548169814.8,581289333.3,625368666.7,561623518.5,523833888.9,537755740.7,543333333.3,545555555.6,590740740.7,602193555.6,619061555.6
Australia,AUS,Exports of goods and services (current US$),2413484153,2437003024,2772986897,2796505768,3549109643,3428155449,3525590772,3915332064,4016127226,4377869862,5354462986,5715085676,6663551402,9019859065,11680176861,13874095316,14185049792,15449644414,16123392736,19275247075,24616155989,26334610473,26231932031,24060832943,26236189096,27497123571,27321628428,29290629963,37674621653,45334256168,47071950750,52249430971,54226716911,54747048904,58015219647,65793733294,75814112291,83327594303,78237807773,71357312946,80650631162,83817752495,81500104646,88243447874,1.0424E+11,1.25269E+11,1.46423E+11,1.69724E+11,2.08368E+11,2.08703E+11,2.22103E+11,2.9385E+11,3.27174E+11,3.09446E+11,3.03843E+11,2.64829E+11,2.27285E+11
