Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263687150.8,278212290.5,361452514,365921787.7,376513966.5,401284916.2,401284916.2,471117318.4,488307262.6,499675977.7,516055865.9,538932960.9,551329608.9,573402234.6,604094972.1,634184357.5,649346368.7,662324022.3,,,,,
Afghanistan,AFG,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345361857.5,448213327.7,558706069,662537829.5,808230950.6,1075909856,1356287502,1457627883,2284709288,2300821213,2538274586,2407179869,2533697703,2422842705,2401347668
Angola,AGO,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,3342245989,3342245989,3342245989,3342245989,3342245989,3342245989,6059305452,2404892650,2197607780,1627798904,,,,,,3880608576,2247834010,3355854097,3924601542,3909558614,5642348303,7710795701,9235249869,14421577591,13214720616,14563155495,20378944096,24485469656,24720659191,26109983073,17765558032,13782507086
Albania,ALB,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,181118882.7,182867122.8,201624987.5,208000000,201124987.5,205750000,389249987.5,251527784.7,139619502.2,173511335.7,275059100.7,330850354.1,304805696.5,239720926.4,277764896.8,340496886.3,343409116.2,422298830.6,495505171.4,625827912.2,803383052.2,886229439.6,911397955.6,1087625549,1336950033,1338043373,1330733639,1414665049,1336057976,1389225319,1514888360,1275883511,1306340985
Andorra,AND,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10242341729,11142545950,12124166099,12929884275,14219196732,15365554799,17365554799,23019741321,25948264125,29068775894,34902893984,36449312457,44613354658,46949485135,48741184479,48931245745
Argentina,ARG,General government final consumption expenditure (current US$),,,2981109323,1873293741,1851010087,2292941109,3093333420,2362424327,2598571394,2969714409,3077105359,3377999917,3248124955,6063222189,9527777910,6601594539,4820215362,5119039948,6485598140,7623189692,,,,,,,,5238095280,5454545412,3444365653,4432002301,6302044992,6807692308,31984702503,33948250000,34446000000,34023250000,35324750000,37353000000,38908500000,39175250000,38037500000,11956793597,14593558022,18301129726,24130382301,28905507926,37348269041,49293062930,52956236299,64237667185,83177086713,90881156804,92774657769,89210530677,108154000000,100479000000
Armenia,ARM,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413148198.9,382868191.7,236021087.2,206549962.2,148244906,164011070.1,179366728.9,183897273.1,209296328.2,219771613.6,225736850.1,239088206.7,237325542.9,286523662.2,363847783.3,517047743.8,644208350.9,936574026.3,1192933999,1153342584,1210407041,1311138040,1158563983,1327354216,1403108724,1381202603,1460260418
American Samoa,ASM,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,12766666.67,12703703.7,16988888.89,21244444.44,23485185.19,26214814.81,30807407.41,32033333.33,36555555.56,44874074.07,47429629.63,65566666.67,70996296.3,70292592.59,71800000,77488888.89,85244444.44,95618518.52,105462963,113962963,117811111.1,135133333.3,146822222.2,142937037,155888888.9,179181481.5,158644444.4,168518518.5,168414814.8,173862963,201025925.9,243370370.4,239885185.2,205174074.1,199596296.3,210996296.3,202874074.1,208918518.5,216920185.2,226790037
