Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005027933,1141899441,1224022346,1321229050,1392737430,1458212291,1324284916,1316033520,1347128492,1432167598,1527994413,1816625698,1888111732,2005849162,2091921788,1906100559,1846245810,2233916201,,,,,
Afghanistan,AFG,Imports of goods and services (current US$),37777780,44444446.67,51111111.11,126666717.8,144444451.1,215555548.9,259999993.3,237777784.4,208888900,211111117.8,208888900,295555548.9,288888877.8,255555562.2,320000000,337777777.8,380000006.7,437777795.6,457777788.9,,,,,,,,,,,,,,,,,,,,,,,,2695612253,4324401128,4605719092,4861120343,5228625785,5743886682,5612184212,5269393819,7162552543,7924080689,8038495178,9974609899,9177749284,9615375543,9544683716
Angola,AGO,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,3342245989,3342245989,3342245989,3342245989,3342245989,3342245989,3029652726,4153905487,2923603207,3078876577,,5222436512,5291285623,4714184659,5703592944,5735919712,6697268362,7082117702,8801254050,10634511751,15144224757,16288813596,26304726743,43121503224,41829336856,35421230674,43898357050,45858657947,49190381513,53514461498,37213521886,29289391478
Albania,ALB,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,372867136.2,362610725.8,336224987.5,335624987.5,408575012.5,483800000,487500000,314316659.7,627952433.9,764996711.8,773426393.9,836744255.2,1061577473,806850764.8,937667487.4,1099997513,1382114188,1583646805,1966308372,2590993958,3245963304,3872963233,4363324819,5862891873,7269867620,6474811754,6324212520,7315461381,6404670234,6835365179,6243050923,5071012229,5436290838
Andorra,AND,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42053369639,47845064670,57668073519,78428046290,93862491491,1.1293E+11,1.66134E+11,2.19714E+11,1.8714E+11,2.29101E+11,2.8645E+11,3.1977E+11,3.32757E+11,3.58938E+11,3.43717E+11,3.53764E+11
Argentina,ARG,Imports of goods and services (current US$),,,2294367227,1441753153,1424602864,1176470539,1428571371,1212121237,1428571475,2000000041,1495789482,2199999959,2374999979,3000000102,4555555490,3135135021,3030000057,4159999873,3319672098,4383512571,4989980080,5800000171,5497685333,6068376037,3762000095,5546666807,7015555449,8417142924,7839772666,5042239481,6546483926,11531201154,18606904906,22049649550,27299750000,26038000000,30148250000,37413750000,38667250000,32762500000,33070250000,27604000000,13065794410,18772867665,27736672324,34423282342,40480743016,52567536062,66316154417,48268743530,67937933972,88839174035,78013690407,81240190817,73691675720,69277437464,73162700768
Armenia,ARM,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045655213,1243607801,779530102.3,729847878.4,961391389.3,913101534.1,894135848.5,955405596.9,1000634305,919089981.3,966167152.4,977647641.7,1107060085,1404513019,1620291874,2118458522,2505910484,3604342095,4741291123,3718993414,4196501102,4802696584,5139753188,5360220562,5461874861,4418183192,4567654107
American Samoa,ASM,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559000000,571000000,567000000,614000000,634000000,621000000,754000000,556000000,537000000,559000000,643000000,641000000,678000000,666000000,
Antigua and Barbuda,ATG,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,34811111.11,43451851.85,69600000,95400000,118955555.6,147796296.3,117211111.1,147492592.6,187200000,293462963,303144444.4,283800000,338911111.1,340559259.3,357870370.4,386455555.6,398500000,421925925.9,438925925.9,467366666.7,478288888.9,489922222.2,529322222.2,498461555.6,486572963,474439629.6,534751185.2,592338407.4,682720518.5,818413185.2,932372148.1,952207888.9,706477111.1,678929888.9,641367703.7,701982925.9,720788037,742592592.6,670414259.3,686701666.7
Australia,AUS,Imports of goods and services (current US$),2611714638,2952178295,2512039422,2974577220,3270243028,3959009968,4124762011,4222197335,4730652929,4882965618,5455258148,5839399709,6251168224,7062139654,11784819455,14352041513,14071599647,16180316586,17304308595,20742928547,23893036212,29641239986,32685644930,27726719701,29067197971,31256424024,32979854505,32383536263,39316065192,50963276606,53254328588,52891452790,53566869184,55920460933,59734347976,73036828037,77569802731,81973704805,81368785186,80249404687,89083715380,83150692283,81408539138,98146185207,1.2079E+11,1.44095E+11,1.59927E+11,1.83462E+11,2.35793E+11,2.07759E+11,2.33202E+11,2.79402E+11,3.28788E+11,3.27211E+11,3.07764E+11,2.84286E+11,2.53979E+11
Austria,AUT,Imports of goods and services (current US$),1533588048,1601412625,1721989636,1914159092,2162849119,2445451299,2745531719,2849036542,3073420375,3514855809,4219189997,4879301190,6031594619,8120946729,10707278195,11409036344,13376639794,16647399550,18942756467,23962383736,28804546054,25121970537,23056333952,23054908764,22975942714,24377070298,31681524651,39014929256,44619830046,47243466771,59528539392,61571774190,67196213999,60491835325,68794915191,83626177153,84936638939,80435483144,84102623388,84389782655,82583692648,84583257271,88703783173,1.09273E+11,1.31991E+11,1.43264E+11,1.58458E+11,1.8679E+11,2.09402E+11,1.66636E+11,1.86051E+11,2.19461E+11,2.08628E+11,2.16739E+11,2.17944E+11,1.8491E+11,1.87146E+11
Azerbaijan,AZE,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3474320239,3622902230,2725096547,3019037459,1015000340,1267080012,1764609974,2101202008,2424675962,1918507949,2023530036,2130003114,3120948982,4769463755,6312082121,7006588428,8132889635,9423875539,11464094450,10235008709,10940949296,15881853869,17622072301,19765583174,19718220069,18473453055,16529046813
Burundi,BDI,Imports of goods and services (current US$),26250000,29750000,35000000,33250000,31500002,19928888.89,21494857.14,21192000,24488000,23004571.43,28208000,35832000,37205714.29,40576812.54,53633015.87,79994920.63,74673623.19,94676666.67,123426666.7,177800000,214223333.3,213555555.6,272632222.2,268000000,232495196.7,239045071.7,268172621.5,291223994,280918091.1,255573911.4,314442790,332769070,319246482.3,254942339.4,263464979,272899694.1,136902390.4,140485312.9,173751546,129001348.6,141321270.5,138400674.4,140218224.2,164737396.3,225367196.2,373658949.2,596736450.4,464102100.3,611231022.5,750254922.2,794106317.3,887268012.1,926374220,929592021.3,1037572768,920818634.2,959704090.5
Belgium,BEL,Imports of goods and services (current US$),4488686803,4935914686,5383141329,6084755798,6835605753,7297193143,8275773595,8450148125,9492309939,11307889126,11434570391,12483572404,15300704885,22038930760,29379825911,29985935615,34356762800,39946326168,47180976047,60140962851,67211980411,58876182855,55151809465,52365700276,53248465861,53044189075,66132838902,80834902323,92632280417,1.00889E+11,1.23029E+11,1.22985E+11,1.32228E+11,1.19015E+11,1.34356E+11,1.62226E+11,1.62111E+11,1.54085E+11,1.56588E+11,1.56378E+11,1.64681E+11,1.60957E+11,1.67768E+11,2.02229E+11,2.43552E+11,2.70594E+11,2.94994E+11,3.47603E+11,4.10814E+11,3.24878E+11,3.60977E+11,4.27499E+11,4.06718E+11,4.1955E+11,4.37563E+11,3.69811E+11,3.82712E+11
Benin,BEN,Imports of goods and services (current US$),27392931.59,22470098.07,23547272.22,29521371.22,33034384.35,43212954.82,49061969.22,60547029.3,62251308.85,70874399.43,81609765.59,93259568.23,109969562.5,130886423.4,163593479.1,226162498.4,216705681.7,260873171.5,320872304.7,439164032.2,524469482.1,567561768.1,508205482.7,345886049.7,325135991.3,383239061.8,435776317.7,483576008.7,519825023.3,372643203,520152807.1,602729559.6,567957714.4,748725692.9,576481292.4,790421189,708783113.7,715320118.4,797921925,1102324171,895394973.1,989716092.7,955970273.2,1161389628,1245729576,1291452507,1456520213,2102378049,2399703621,2294433362,2593296277,2672156360,2859593546,3782487248,4315403052,3299520923,3403657825
Burkina Faso,BFA,Imports of goods and services (current US$),52340174.82,55303956.09,59614687.01,61742281.23,47262666.46,48113645.22,50541606.43,62777892.68,70389699.5,79074242.05,73994573.51,96149821.83,123177211.9,154655047.3,183824303.3,283412263.6,263748343.6,344381930.8,409486806.9,511997958.8,602966359.7,558238164.6,554828007.5,473268805.4,419829355.8,481677884.2,589940838.7,665476559.1,709757519.1,618479382.7,758453092.9,731992034.9,437468498.2,482110691.9,474345862.2,633116355.2,714319767.8,651175221.5,789066274.1,723529014.5,656698457.2,650493800.8,695492405.8,926190162,1248353161,1408926910,1476327435,1684344020,2204833709,2320061450,2661670136,3555059370,4149368368,4910511295,4918730722,4352271297,4530985584
Bangladesh,BGD,Imports of goods and services (current US$),397875421.7,563656831.8,549204082.3,620050850.4,760610844.8,789516322.8,814737821.8,913639901.2,868581340.5,988170710.7,1124763247,938861337.7,863537083.3,958701323.7,1294857683,1575422623,1784273650,1194951862,2056130688,2459010309,3243617765,2858506732,2877295409,2590824916,2538320000,2860038462,2577133333,2842322581,3255865305,3679750954,4126170021,3785238015,3915198860,4677910147,4681795690,6580596891,7601784557,7625081831,8058876652,8525935940,9060862652,10102557450,9060891520,9761830743,10229675556,13891430894,15626727219,18268578048,22873050576,23726338035,25106319011,35373857177,37272043677,40135237754,44128009984,48280625470,47171604057
Bulgaria,BGR,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,6088384615,6859642857,6424733333,6118555556,6729388889,7411526316,8802352941,11977307692,10352294118,10589277778,7577727273,4290322581,5479381443,4963768116,4429059041,6519449405,4588656549,4174189904,5276354238,6449155466,5500577403,6269113379,6827243139,9430015005,13630160625,17080644178,22027000577,31626174948,39341595243,26258237719,26837706782,33700520441,34484200394,36277928882,37417879528,32107080027,31703058258
Bahrain,BHR,Imports of goods and services (current US$),,,,,,,,,,,,,,,,,,,,,3540992040,4161702128,3892819149,3471808777,3665159574,3280851064,2588829787,2964627660,2869148936,3385638032,4001596011,4414893617,4596276330,4198138298,4119148936,4122340426,4649734043,4413031915,3950532181,4168882979,5132180851,4794680851,5624202128,6205053191,8170478723,10286968085,11559042553,12626329787,16276329787,11353989362,13097074468,21507978723,25750000000,28332446809,26547872340,22303191489,
