Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64804469.27,-21229050.28,-28491620.11,-56983240.22,-66480446.93,-80849162.01,69301675.98,37519553.07,-86687150.84,-156597765.4,-77821229.05,-218770949.7,-302256983.2,-276474860.3,-241949720.7,-312122905,-328547486,-404837988.8,,,,,
Afghanistan,AFG,External balance on goods and services (current US$),-15555546.67,-19999991.11,-24444431.11,-57777795.56,-73333306.67,-102222208.9,-139999993.3,-124444444.4,-86666671.11,-68888895.56,-37777795.56,-95555560,-53333333.33,-31111124.44,-17777777.78,-37777771.11,-42222228.89,-93333344.44,-100000017.8,,,,,,,,,,,,,,,,,,,,,,,,-1358422698,-2327909195,-2808846054,-3142047902,-3360458832,-3989348330,-3778604749,-3432865496,-5565071592,-6829031839,-6905524853,-8710108172,-7860912953,-8235749403,-8202051356
Angola,AGO,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-218626604.6,-78485992.13,386168618.2,,1003610292,-52763690.2,-1058354659,-393836195.7,2446743931,39539929.01,1452439915,907497088,3163246007,9142028773,17057626098,18402200086,21121847071,-378213548.3,16030507357,24144219335,26049988996,20371825861,7336779163,-2281454704,307380271.5
Albania,ALB,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,-37797203.13,-43519825.56,-8912475,-2074975,-60287525,-64875012.5,-175000000,-232016659.7,-546433224.3,-575597170.4,-548018912.9,-534278929.9,-690449177,-576862766.2,-644098785.4,-559893963.1,-733173851.5,-835185159.4,-1097082884,-1421150768,-1637941144,-2010850073,-2121099778,-2857595941,-3458246009,-2909620311,-2455106876,-2930802256,-2295819640,-2304610449,-2510965122,-1966093059,-2008521600
Andorra,AND,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8733832539,6517631042,11870388019,15540639891,28208304969,39503335602,20556024506,29093805310,14819060585,-3826004084,28383934649,56027773996,59814567733,40631449966,15684138870,8304969367
Argentina,ARG,External balance on goods and services (current US$),,,-1147183292,396.4821251,391.7657954,588235263.8,476190458.7,606060620.3,285714230.4,0,273421120.5,-199999955.3,125000068,1000000034,444444349.7,-81081003.16,1665000247,1300000008,1680327852,125448026.3,-1094188525,-354736981,2166280922,3447293430,2241000057,4830000122,2038888858,330476193.1,4189772695,4965320039,8096966436,3029889879,-3511003028,-5692331932,-7914750000,-1059250000,-1767000000,-6485500000,-7530250000,-4900250000,-1846500000,3508750000,14670871631,14311594203,11530324282,11774897789,13069507212,12594785133,13446803975,16864736859,12270934023,8971758595,10642160447,-549718918.5,2150036585,-4909661240,-3777647905
Armenia,ARM,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-255694325,-400778635.9,-272780151.1,-162600074.2,-444165259.6,-561763711.9,-523000228.3,-623026872.9,-640769081.8,-535999993.4,-519333821.7,-438107952.3,-409450074.1,-501968657.7,-556791451.9,-706671463.2,-1014567335,-1838053830,-2986491786,-2380771150,-2267574978,-2393250057,-2212354765,-2206270017,-2145601388,-1280887340,-1071978459
American Samoa,ASM,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41000000,-58000000,-107000000,-116000000,-139000000,-116000000,-113000000,-26000000,-173000000,-224000000,-161000000,-185000000,-255000000,-241000000,
Antigua and Barbuda,ATG,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,-3259259.259,2659259.259,5840740.741,-21322222.22,-27818518.52,-54233333.33,-23181481.48,-17803703.7,-35518518.52,-87570370.37,-76159259.26,-18274074.07,-47974074.07,4740740.741,11992592.59,20811111.11,40785185.19,14533333.33,-37318518.52,-64844444.44,-35000000,-24022222.22,-56492592.59,-31599629.63,-41238888.89,-46574333.33,-72113259.26,-58365296.3,-137451148.1,-270243370.4,-351082814.8,-326839222.2,-144853592.6,-155096000,-103611963,-158649592.6,-175232481.5,-151851851.9,-68220703.7,-67640111.11
Australia,AUS,External balance on goods and services (current US$),-198230484.9,-515175271.6,260947474.5,-178071452.6,278866614.4,-530854519,-599171239.8,-306865270.5,-714525702.8,-505095755.4,-100795161.8,-124314032.9,412383177.6,1957719411,-104642594,-477946196.9,113450145,-730672172.5,-1180915858,-1467681472,723119777.2,-3306629514,-6453712899,-3665886757,-2831008875,-3759300453,-5658226077,-3092906300,-1641443539,-5629020438,-6182377838,-642021819.3,659847727.4,-1173412029,-1719128329,-7243094743,-1755690440,1353889498,-3130977413,-8892091741,-8433084218,667060212.5,91565508.58,-9902737333,-16550007113,-18825740490,-13503294400,-13738713983,-27425246195,944632602,-11098388091,14448388051,-1614765931,-17765466297,-3920866612,-19456693569,-26693727983
Austria,AUT,External balance on goods and services (current US$),-930111.5936,80679491.92,94210075.24,47643120.39,-17128008.38,-69831396.49,-164205816.3,-104218563.7,-49207442.09,131854191.2,-8253612.067,-51196166.98,-90793975.83,-175569611.4,-462135232.6,-154548076.2,-1024561325,-2238320290,-876183644.5,-1129973340,-2797556052,-1680205288,-432491167.2,-1073721924,-710050340.4,-146291766.4,7784948.175,-18333696.13,-523256436,-636198960,-105414014.3,-1455519859,-2517539068,-590954099.1,-3340965185,-2798471407,-3679906421,-1643296877,-397721209.4,1088109951,2721678644,3440903803,7791633729,6957652370,8690638192,9752704887,11476828503,16043717492,17894712172,11866921367,12971134996,10810986590,10567670073,11056228485,14466386295,15109737251,14718222322
Azerbaijan,AZE,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410876132.6,391576172,1577627523,-737231525.9,-195757690.6,-415415108.8,-826970007,-951149059,-1415240945,-636517940.2,34971417.78,205769676.8,-453991462.7,-1712746997,-2077098504,1329792469,5822125923,13093634425,20669182084,12635232645,17787716457,21332657971,19292769857,16075971957,12833099579,1585887175,1051952121
Burundi,BDI,External balance on goods and services (current US$),-1750002,-3500000,-7000000,-15750000,5249998,-3476148.148,-3666285.714,-1934857.143,-5626285.714,-4633142.857,-2262857.143,-14502857.14,-8244571.429,-7050208.682,-19958095.24,-45155555.56,-13122318.84,1665555.556,-51983333.33,-66977777.78,-133201111.1,-124952222.2,-169162222.2,-170043033.9,-118934090.7,-112241235.4,-127291596.7,-180963682.4,-144635190.7,-147013717.4,-225312545.6,-216993753.6,-224489561.4,-166880195.2,-168448010.2,-143580889.9,-86321830.22,-44796367.25,-102252114.8,-67783377.1,-86315511.95,-92989703.14,-101541854.7,-114665348.9,-161731658.4,-282015930.1,-504022811.3,-365671577.6,-458258594.9,-631908749.6,-613378056.3,-666927132.6,-705092583.3,-728832039.9,-797252604.6,-733331813.3,-772036885
Belgium,BEL,External balance on goods and services (current US$),-81609024.95,-98224365,-1520136.523,-136540480.1,-52950733.76,-4087019.229,-131222480.7,83800830.5,98599029.09,263016665,509942154.1,501646821.8,1038258363,775687952.8,105890327.3,16162114.73,-5011285.266,-793280472.7,-1086613552,-2371373555,-3974698027,-2545946328,-1915570369,19611203.16,163476682.5,557645764,2264849648,2200189843,3291817334,2965262592,2834069049,3154629652,5135766876,6424880014,7983256571,10030103996,7950488599,8732521425,8626361414,9888131259,6271420674,7958836689,14249011858,16594808126,17439781475,14202213655,15280391419,18015329866,2509154826,10964156710,8688224433,2727442373,3069535707,5938983561,4873093031,7599325567,11179875303
Benin,BEN,External balance on goods and services (current US$),-13540909.26,-11668269.73,-15229910.22,-19817881.17,-19172870.2,-22143655.72,-28322053.95,-37072595.67,-31790214.03,-31934687.41,-30976482.54,-33664163.73,-50945771.42,-51891171.49,-84184905.82,-127825139.8,-125973746.4,-139523354.6,-167380129.2,-231379262.4,-302207690.2,-361879896.1,-282908113.1,-195119141.6,-119330534.6,-135900627,-212968997.6,-245034312.6,-296170465,-169902127.6,-144205934.8,-185528224.9,-173980880.6,-237760290.7,-123794025.5,-196617154.1,-83115278.51,-98883439.5,-132765175.7,-465162284.6,-352258916.5,-444314998.5,-339317078.8,-419992900.9,-394862771,-382013623.2,-503738739.7,-754068506.3,-769530865.3,-848605730.4,-935234222.5,-1001343390,-854606934.7,-1204558335,-1201622119,-959676185.4,-781751415.9
Burkina Faso,BFA,External balance on goods and services (current US$),-36274159.23,-36289432.73,-38617092.59,-39756808.83,-35778431.86,-28437030.55,-28622659.95,-40562454.04,-41820425.46,-51250579.61,-48987516.06,-69561880.89,-86148673,-112064689.6,-121324251.8,-214340678.5,-183620150,-254333379.7,-299284005.1,-367815867.3,-430335835.7,-393503705.9,-411038234.8,-347100437.5,-259813131.3,-327647798.2,-406865697.6,-396291293.1,-422027051.7,-389645134.8,-418342896.8,-404456618.4,-239283920.3,-273359090.3,-205183819.8,-296639253,-441086758.5,-386520208.4,-429811443.5,-438572567.1,-406093969.1,-390491086.1,-401325302.2,-559865505.9,-700220790,-876640691.6,-803087913.5,-969994368.5,-1370607130,-1257230728,-935115097.2,-873648265.9,-1299954498,-1784389928,-1737846446,-1613853380,-1481506335
Bangladesh,BGD,External balance on goods and services (current US$),29472269.66,-44208310.74,-3117229.043,-88983517.3,-220475074.6,-218774783,-152462264.8,-238611865.5,-245129802.8,-298123196.5,-377188130.8,-388240255.4,-506696083.3,-429877226.6,-831762076.3,-1012377603,-1304107178,-515438377.5,-1317974808,-1508080953,-2247061873,-1819522644,-1937075848,-1604040404,-1895720000,-1660461538,-1448600000,-1629838710,-1813076879,-2085202591,-2259240017,-1722661028,-1509549041,-1687195801,-1642094826,-2458582043,-3094229713,-2549601828,-2182026432,-2497212978,-2472788710,-2874981468,-2269650009,-2884974093,-2972345847,-3896617886,-3881819535,-4738271069,-6692012826,-6366463961,-6633869734,-9746510605,-10385405740,-10830292256,-11297649912,-14460489452,-10306586750
Bulgaria,BGR,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,995769230.8,221714285.7,206266666.7,34555555.56,331666666.7,-69842105.26,-695823529.4,-516230769.2,-74529411.76,-382111111.1,-744545454.5,467741935.5,-603092783.5,-826086956.5,-60608856.09,263214285.7,1373670601,1435844581,1027722109,-623502748,-703087646.6,-1321722433,-1308127588,-2152557858,-2916766555,-4377367385,-5876095684,-8363361092,-10751044051,-4294511978,-1442124002,215985780.3,-1710183311,-228490092.3,-535036630,74161754.7,1602106900
Bahrain,BHR,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,272486335.9,385638031.9,444947074.5,139361170.2,103191489.4,435638563.8,424202127.7,507712766,660638297.9,425531914.9,886169680.9,-490957712.8,-587234042.6,163563829.8,401329787.2,673670212.8,714627393.6,607713031.9,44414627.66,1052925532,2043882979,1812765957,1331914894,1775797872,2166223404,3109840426,4103191489,4688031915,4955053191,4350797872,4783244681,7101063830,5659574468,5771276596,5521276596,4023936170,
"Bahamas, The",BHS,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,117700000,126100000,98800000,100200000,71500000,98400000,148200000,107800000,128100000,146200000,149800000,,-102190000,-56940000,-131180000,-30080000,17730000,-76880000,-184040000,-353010000,-261180000,-433500000,-102010000,-157500000,-231550000,262290000,142360000,141770000,-218030000,-859600000,-601150000,-655000000,-611000000,-672000000,-1079000000,-1244000000,-1065000000,-1620000000,-760000000,-329000000
Bosnia and Herzegovina,BIH,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-891000000,-953000000,-1678999934,-1650984372,-2925335455,-3117542320,-2577347574,-2732719436,-3098270164,-4425994460,-4535683810,-4489476696,-3602078122,-4630871239,-6205283853,-4179541161,-3706256518,-4430807449,-4039494810,-3701728056,-4196746032,-3072024383,
Belarus,BLR,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000000,600000000,248148148.1,-2561818182,-1916498825,-613148263.2,-601330769.2,-818949314.4,-739102063.8,-294772458.3,-405990274.7,-438561151.1,-546875706.7,-682552427.3,-1472694465,214874037.8,-1542224756,-2837780896,-4692478811,-5536386541,-7538702237,-644509817.4,2935204331,-2378217922,-606400415.1,60241159.41,-44153884.84
Belize,BLZ,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,-25700000,-42350000,-40500000,-30100000,-16250000,-26800000,-5950000,-5900000,-18350000,-34100000,8900000,-47050000,-16582450,-19559250,-15139050,-7131600,-1683350,-19157450,-29945200,-90105950,-172250000,-158950000,-126550000,-126284150,-84128650,-89523350,-6305650,-1597350,-99659350,-61489350,10346100,-44753700,-7385400,-88805600,-93751200,-159578200,-200404700
Bermuda,BMU,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927734000,970636000,1043222000,1002653000,1007490000,,,
Bolivia,BOL,External balance on goods and services (current US$),-33389539.06,-25042154.29,-50084308.59,-50084308.59,-16694769.53,-33670033.67,-42087542.09,-25252525.25,-42087542.09,-25252525.25,2441077.441,-32996633,-36555095.9,-7646176.912,178410794.6,-150974512.7,-60369815.09,-92703648.18,-282358820.6,-142427940.6,101731969.8,18398079.12,-18995801.58,231967056.9,-133569648.8,-203957011.9,-173553039.6,-189644986.3,-200978623.5,-31043066.04,-55943769.4,-293146679.3,-509041661.3,-533645635.5,-331015690.9,-311260129.6,-347106372.9,-653745884.3,-1094806265,-862182919.3,-759866903.9,-430160135.6,-480760251,-61940672.66,422223664.3,329858047.9,1031307230,987874465,1158213807,488671510,1348610315,1366613810,2541509551,2132066136,436112735.2,-2044775832,-2520136469
Brazil,BRA,External balance on goods and services (current US$),-8832286.393,-9149902.739,-263069676.4,-17161539,150139738.7,474987147.8,225450250.4,0,-206594912.1,24981601.39,-177912553.3,-848612874.4,-927784676,-975055646.9,-6172123572,-4907560236,-3659545985,-1172207021,-2387152106,-4615615400,-5295341312,-999146350.2,-1872613598,4906714630,11753827695,11487450779,6601570981,9608553068,17166386286,14761099609,5720000000,4600000000,9947500000,6160807453,-15642108.56,-14829464967,-18498656850,-23040816327,-20535114175,-11103212652,-14835747472,-12266814046,4281619980,12401364966,22845811966,30322461387,29983450559,19038570181,-3215181590,-6722016605,-22995111414,-20127929220,-33506732886,-56911089467,-65366340841,-21237488353,6516480367
Barbados,BRB,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,40339572.61,-26235987.18,34374784.51,77985697.35,122889024,155104349.4,94509724.1,67396768.14,74669668.52,77420415.47,36768027.94,32747931.36,206101086.3,175760859.8,152538159.4,40471336.95,60657286.33,-69159250.24,-91781434.89,-142246308.4,-125650000,-134950000,-170850000,-134000000,-298750000,-305050000,-193150000,-172250000,-343150000,-140300000,-185500000,-587850000,-473300000,-550850000,-521350000,-405854750,
Brunei Darussalam,BRN,External balance on goods and services (current US$),,,,,,,,,,,,,,,780499815.3,778475941.5,1072931844,1360990407,1563764292,2268923020,4026713992,3468074028,3075233645,2663984856,,,,,,794236784.1,864000000,981129891.2,416820135.1,123158806.8,109336126.8,184139974.6,-36170212.77,-68022629.31,-280831740,341002949.9,1892586021,1698908299,1489797163,2184905751,2913434268,4086996696,5334822833,4893570433,7295088908,3970301114,5407407407,7312981954,6606113956,4550031969,6509076559,2524547240,987131997.5
Bhutan,BTN,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,-32634860.05,-47721709.01,-50635306.55,-55823762.38,-54502640.85,-62247372.68,-70059476.61,-36823302.47,-59733477.01,-27373382.62,-11458595.09,-19915127.53,-59983410.49,-29464247.29,-26802040.17,-14730188.1,-32212249.51,-37369595.15,-61509936.98,-82075243.85,-107596221.6,-88930921.81,-105902838.9,-111784903.4,-184334728.6,-194020408.2,-39620809.15,550685.0309,-115375633.3,-221360057.7,-448346447.7,-532970506,-443398980.5,-392318482.9,-412397119.4,-557465172.5,-508272304.8
Botswana,BWA,External balance on goods and services (current US$),-4065610.543,-5037078.494,-6028319.08,-6990074.095,-8225289.279,-8655591.233,-11157601.12,-15341701.53,-26429567.64,-23046929.4,-34896705.75,-36073825.5,-38291509.56,-56476012.1,-72994849.15,-71737660.58,-59280128.79,-83135391.92,-97198744.26,-91226993.87,-141984045.3,-234373132.5,-149315334.6,-5652292.825,35351201.48,167875538.7,267415252,524480314.5,703242918.1,403618045.6,199516259.1,256306885.6,273996302.8,332115884.6,317924458,334824327.2,809638409.2,660512764.3,-156298066.7,628795086.9,679485671.7,537440936.8,678719302.1,887844461.5,737177438.3,1722233093,1840506459,1523539543,-587528746.6,-1754049559,-975476919.5,-559503963,-1752569201,11321654.15,1119904585,-191157591.7,
Central African Republic,CAF,External balance on goods and services (current US$),-12235152.74,-11416451.35,-16325591.73,-17141711.74,-17549073.33,-15914415.56,-22386990.47,-33739673.31,-10199971.16,-19299955.45,-18199334.96,-15359068.7,-20448283.44,-21338965.28,-43896192.31,-71148791.32,-32211132.43,-46268167.86,-63899745.14,-88999748.97,-126405741,-67231228.99,-90147343.49,-82119284.59,-77225299.67,-83263033.01,-117121885.6,-128580013.2,-92453135.52,-76001157.34,-126898519.4,-117572452.1,-134099356.3,-74035200.98,-13782304.08,-67302629.84,-41759162.89,-19223210.95,-55484193.79,-47625536.56,-44950934.46,-50468017.71,-41471290.33,2744320.676,-66655334.4,-111608645.1,-113395927,-158726561.3,-246769274.3,-248730942.4,-291994688.8,-230817598.5,-219855126.2,-160260971.2,-417762548.5,-347904714.1,-303630142.4
Canada,CAN,External balance on goods and services (current US$),-480589422.7,-121835810.6,-4338816.795,358876812.3,505013556.2,-63081483.32,18564400.28,658195364.6,859416849.1,79867771.46,2233999713,1648555258,1058605516,1880961804,307454908,-2900999115,-1346548377,-251912929,919244499,1480755933,5144255217,2360497122,12179622274,11083252191,12445371014,8482607104,3686937747,5187028658,4002600146,338682432.4,1052451148,-3219865584,-2118805328,111619254.3,6706942004,18801369863,24631463146,12412249025,12198854061,24071481457,41696182075,41723915289,32865608870,34019698808,44973097617,45375474501,35220380818,30973838563,26676663543,-20248447205,-30927151055,-21452593815,-35937169851,-30342886074,-18330087132,-37104274944,-36190593905
Switzerland,CHE,External balance on goods and services (current US$),97623696.7,-156007583.9,-236428914.5,-217496523.7,-249939640,75868658.49,226237504.3,311898552.7,532749282.5,532025706.9,-432423142,-469566148.2,-321895242.6,-545165855.7,-1139498305,2064473560,2494305249,2101437113,2780976174,-518431587.2,-4513657516,-1270210824,1203260750,329934591,32689875.3,696102315.7,2040796765,2028373055,1367778446,-420320863.1,645213144.3,2868582078,8739243778,13528556240,13556237479,14566475095,12435087945,14627864260,13381314250,13730168020,16669655436,15638305937,20249545875,23578533304,35270272457,29628856248,36471103605,54213052399,58443815160,40778626045,62343150088,59005236728,69389167613,82958507912,82860196062,78574282875,
Channel Islands,CHI,External balance on goods and services (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
